               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058182,            0.025386,            0.057961,            0.080685,             0.35938,             0.12846,            0.071599,             0.02197,           0.0088888,            0.036857,             0.00213,             0.00213,             0.08083
                   1,            0.038148,            0.016655,            0.049944,             0.16252,              0.4421,             0.23363,             0.12384,            0.023637,           0.0061352,             0.03318,           0.0042692,           0.0042692,            0.061569
                   2,            0.037901,            0.014949,              0.0458,             0.32871,             0.54709,             0.37818,             0.21764,             0.01709,           0.0054662,            0.026337,           0.0064049,           0.0064049,            0.042305
                   3,            0.037661,            0.014393,            0.041295,             0.46514,             0.40866,             0.35877,              0.1803,            0.025451,           0.0064248,            0.023195,           0.0085348,           0.0085348,            0.023035
                   4,             0.03957,            0.015318,            0.040694,             0.61921,             0.32697,              0.2711,             0.12072,            0.024349,            0.006489,            0.021207,           0.0099685,           0.0099685,           0.0099685
                   5,            0.036505,            0.015188,            0.036466,             0.30464,             0.58823,             0.44588,             0.23589,            0.021841,            0.005705,            0.020514,           0.0099685,           0.0099685,           0.0099685
                   6,             0.03299,            0.015007,            0.033574,             0.49695,             0.63622,             0.64423,             0.36897,            0.017099,           0.0051864,            0.013346,           0.0099508,           0.0099508,           0.0099508
                   7,            0.033707,            0.013982,            0.031777,             0.57419,             0.71112,             0.68334,             0.39098,            0.018306,           0.0052428,             0.01254,           0.0099291,           0.0099291,           0.0099291
                   8,            0.032058,            0.014231,            0.029005,             0.60092,             0.70068,              0.7049,             0.38825,            0.018797,            0.005331,            0.010578,           0.0099037,           0.0099037,           0.0099037
                   9,            0.032248,            0.014484,            0.029635,             0.54773,             0.73147,             0.65485,             0.37967,            0.016494,           0.0054756,            0.012756,           0.0098743,           0.0098743,           0.0098743
                  10,            0.030119,            0.014037,            0.027036,              0.6809,             0.66739,             0.70897,             0.44142,             0.01706,           0.0049212,            0.012187,           0.0098412,           0.0098412,           0.0098412
                  11,              0.0283,             0.01401,            0.025563,             0.71197,              0.7872,             0.79858,             0.52364,            0.014261,           0.0044071,           0.0097662,           0.0098042,           0.0098042,           0.0098042
                  12,            0.028081,            0.013842,            0.025384,             0.69458,             0.79169,             0.80922,             0.52525,            0.015123,           0.0045372,           0.0086626,           0.0097635,           0.0097635,           0.0097635
                  13,            0.030971,            0.013609,            0.023737,             0.74888,             0.80295,             0.83552,             0.55907,            0.014421,           0.0044344,           0.0082408,           0.0097191,           0.0097191,           0.0097191
                  14,            0.029554,            0.013652,            0.025081,             0.75121,             0.79181,             0.82494,             0.52345,            0.015191,           0.0045431,           0.0087891,            0.009671,            0.009671,            0.009671
                  15,             0.02972,            0.013881,            0.024496,             0.69333,             0.75897,             0.75977,             0.48802,            0.015361,           0.0046035,            0.011149,           0.0096193,           0.0096193,           0.0096193
                  16,            0.027784,            0.013523,            0.023449,             0.81177,             0.81888,             0.90302,              0.5671,            0.015142,           0.0042184,           0.0069454,            0.009564,            0.009564,            0.009564
                  17,            0.027772,            0.013298,            0.021616,             0.78345,             0.85565,             0.90977,             0.58773,            0.014394,           0.0042305,           0.0059522,           0.0095052,           0.0095052,           0.0095052
                  18,            0.029172,            0.013184,            0.021853,             0.70839,             0.67751,             0.74391,             0.49772,            0.016023,           0.0049284,             0.01346,            0.009443,            0.009443,            0.009443
                  19,            0.026746,            0.012883,            0.019276,             0.83178,             0.84775,             0.91226,             0.65135,            0.013152,           0.0040367,           0.0054365,           0.0093773,           0.0093773,           0.0093773
                  20,             0.02612,            0.012443,            0.017927,             0.85376,             0.87327,              0.9438,             0.70024,             0.01306,           0.0037943,           0.0041548,           0.0093083,           0.0093083,           0.0093083
                  21,            0.025653,            0.012751,            0.017199,             0.83958,             0.90468,             0.94825,             0.67525,            0.012434,           0.0037193,           0.0047003,           0.0092361,           0.0092361,           0.0092361
                  22,            0.025362,            0.012363,             0.01766,             0.87201,             0.91915,             0.95435,             0.67612,            0.013717,           0.0035858,           0.0037726,           0.0091606,           0.0091606,           0.0091606
                  23,            0.025791,            0.012403,            0.016498,             0.87951,             0.90699,             0.95203,             0.67582,             0.01275,           0.0036061,            0.004534,           0.0090821,           0.0090821,           0.0090821
                  24,            0.024884,            0.012251,            0.016521,             0.88524,             0.88245,             0.93751,             0.69318,            0.012407,           0.0037777,           0.0041824,           0.0090004,           0.0090004,           0.0090004
                  25,            0.025527,            0.012522,            0.018666,             0.90232,             0.87936,             0.94046,             0.65886,            0.013022,           0.0038814,           0.0033937,           0.0089159,           0.0089159,           0.0089159
                  26,            0.026266,            0.012411,            0.018888,             0.80354,             0.79271,             0.86624,             0.61037,            0.013183,           0.0042804,           0.0077091,           0.0088284,           0.0088284,           0.0088284
                  27,            0.024791,            0.012204,            0.017322,             0.88635,             0.95405,             0.96522,             0.70657,            0.012025,           0.0035205,           0.0029051,           0.0087382,           0.0087382,           0.0087382
                  28,            0.022688,            0.012335,             0.01508,             0.90359,              0.9541,             0.97562,             0.73562,            0.011728,           0.0034584,           0.0024207,           0.0086452,           0.0086452,           0.0086452
                  29,            0.025916,            0.011819,            0.015661,             0.90674,             0.95224,              0.9673,             0.72267,            0.011431,           0.0033826,            0.003194,           0.0085497,           0.0085497,           0.0085497
                  30,            0.023808,            0.011842,            0.014681,             0.92744,             0.93893,             0.95899,             0.72939,            0.011904,           0.0032988,           0.0019853,           0.0084516,           0.0084516,           0.0084516
                  31,            0.022963,            0.011673,            0.013702,             0.93552,             0.90614,             0.96336,             0.72752,            0.010817,           0.0035574,            0.003054,           0.0083511,           0.0083511,           0.0083511
                  32,             0.02332,            0.011702,            0.013755,             0.93333,             0.92979,             0.98014,             0.75244,            0.011003,           0.0032837,           0.0020958,           0.0082483,           0.0082483,           0.0082483
                  33,            0.023953,            0.011878,            0.014103,             0.92989,             0.94915,             0.96887,             0.71871,            0.011935,           0.0034182,           0.0021425,           0.0081433,           0.0081433,           0.0081433
                  34,            0.022408,            0.011606,            0.012049,             0.93812,             0.94287,              0.9764,             0.76754,            0.010556,           0.0031822,           0.0017335,           0.0080362,           0.0080362,           0.0080362
                  35,            0.022475,            0.011395,            0.012188,             0.95478,             0.95498,             0.98232,              0.7828,            0.010526,           0.0031537,           0.0017788,            0.007927,            0.007927,            0.007927
                  36,            0.022957,            0.011633,            0.013361,             0.94096,             0.94309,             0.97297,             0.73291,             0.01124,           0.0033672,           0.0017186,            0.007816,            0.007816,            0.007816
                  37,            0.021564,            0.011221,            0.010116,              0.9338,             0.96271,             0.97993,             0.75874,            0.010769,           0.0031096,           0.0020044,           0.0077031,           0.0077031,           0.0077031
                  38,            0.022489,            0.010827,            0.010859,             0.94069,             0.97639,             0.98445,             0.76533,           0.0099817,           0.0031001,           0.0012746,           0.0075886,           0.0075886,           0.0075886
                  39,             0.02245,            0.011083,             0.01057,             0.92477,             0.97187,             0.97965,             0.79043,           0.0099027,           0.0029013,           0.0014422,           0.0074725,           0.0074725,           0.0074725
                  40,             0.02159,            0.010831,            0.011002,             0.93964,             0.97057,             0.97682,             0.77167,            0.010151,           0.0030737,           0.0013076,            0.007355,            0.007355,            0.007355
                  41,            0.021723,            0.010817,            0.010079,             0.95071,             0.97584,              0.9856,             0.79174,           0.0098682,            0.002911,           0.0013009,           0.0072361,           0.0072361,           0.0072361
                  42,            0.020837,            0.010994,            0.010461,             0.95154,             0.94972,             0.98197,             0.78089,           0.0099415,           0.0029887,           0.0016533,            0.007116,            0.007116,            0.007116
                  43,            0.020705,            0.010984,             0.01064,             0.92595,              0.9729,             0.98471,             0.78117,            0.010023,           0.0030457,           0.0022234,           0.0069948,           0.0069948,           0.0069948
                  44,            0.021324,            0.011421,            0.012159,             0.90462,             0.96253,             0.97041,             0.74895,           0.0097429,           0.0031142,           0.0015316,           0.0068726,           0.0068726,           0.0068726
                  45,            0.021137,            0.011028,            0.010522,             0.96863,             0.96906,             0.98947,             0.80435,            0.010041,           0.0028972,           0.0012049,           0.0067495,           0.0067495,           0.0067495
